Word	Suffix
facing	ing
italy	ly
spelling	ing
claiming	ing
bombing	ing
totally	ly
graduating	ing
consideration	tion
publishing	ing
suffering	ing
racing	ing
direction	tion
mainly	ly
shopping	ing
arbitration	tion
opening	ing
offering	ing
learning	ing
tradition	tion
implementation	tion
addition	tion
calling	ing
warring	ing
allowing	ing
missing	ing
fairly	ly
examination	tion
essentially	ly
working	ing
establishing	ing
increasing	ing
organization	tion
making	ing
formally	ly
writing	ing
remaining	ing
deletion	tion
forming	ing
running	ing
participating	ing
